"identifikator","nazev","ico","n_osoba_v_cele","osoba_type","osoba_jmeno","pravni_forma","nazev_pravni_formy"
"00259128","Obec Těně","00259128",1,"osoba","VÁCLAV POUR","právní-forma/801","Obec"
"00519693","Obec Terešov","00519693",1,"osoba","ROMAN DIBUS","právní-forma/801","Obec"
"00259136","Obec Těškov","00259136",1,"osoba","RADEK JANDA","právní-forma/801","Obec"
"46810161","Obec Tojice","46810161",1,"osoba","IVAN TRHLÍK","právní-forma/801","Obec"
"00258393","Obec Trnová","00258393",1,"osoba","PETRA ŠUMLOVOVÁ","právní-forma/801","Obec"
"18244122","Obec Trokavec","18244122",1,"osoba","PAVLÍNA NĚMEČKOVÁ","právní-forma/801","Obec"
"49208993","Obec Tužice","49208993",1,"osoba","PETR ZEMAN","právní-forma/801","Obec"
"00267741","Obec Kynice","00267741",1,"osoba","JAROSLAVA DUŠKOVÁ","právní-forma/801","Obec"
"00579939","Obec Lány","00579939",1,"osoba","JARMILA NÁDVORNÍKOVÁ","právní-forma/801","Obec"
"00573604","Obec Týnec","00573604",1,"osoba","ŠÁRKA BREJCHOVÁ","právní-forma/801","Obec"
"00572471","Obec Úboč","00572471",1,"osoba","TOMÁŠ KRIPPNER","právní-forma/801","Obec"
"00573060","Obec Újezd nade Mží","00573060",1,"osoba","JIŘÍ NOVOTNÝ","právní-forma/801","Obec"
"00258440","Obec Úlice","00258440",1,"osoba","ONDŘEJ BACHO","právní-forma/801","Obec"
"00258458","Obec Úněšov","00258458",1,"osoba","MARIE NECHUTNÁ","právní-forma/801","Obec"
"00572535","Obec Úsilov","00572535",1,"osoba","MIROSLAV SLÁMA","právní-forma/801","Obec"
"00257354","Obec Útušice","00257354",1,"osoba","VÁCLAV FINK","právní-forma/801","Obec"
"00573876","Obec Vejvanov","00573876",1,"osoba","LUBOŠ ŠPILAR","právní-forma/801","Obec"
"00256242","Obec Velhartice","00256242",1,"osoba","MICHAL KOPAČKA","právní-forma/801","Obec"
"00256251","Obec Velké Hydčice","00256251",1,"osoba","JAROSLAV PORTÁŠIK","právní-forma/801","Obec"
"00572411","Obec Vidice","00572411",1,"osoba","ILONA FIŠEROVÁ","právní-forma/801","Obec"
"00259217","Obec Volduchy","00259217",1,"osoba","MICHAL ČERNÝ","právní-forma/801","Obec"
"00869007","Obec Vranov","00869007",1,"osoba","KATEŘINA TOMÁŠKOVÁ","právní-forma/801","Obec"
"00573400","Obec Vřeskovice","00573400",1,"osoba","JAN KROTKÝ","právní-forma/801","Obec"
"00573833","Obec Všenice","00573833",1,"osoba","MARTIN DOBRÝ","právní-forma/801","Obec"
"00257435","Obec Vstiš","00257435",1,"osoba","PETR KRAJČOVIČ","právní-forma/801","Obec"
"18246109","Obec Zahrádka","18246109",1,"osoba","MARTINA EBRLOVÁ","právní-forma/801","Obec"
"48333310","Obec Žákava","48333310",1,"osoba","MILAN POLÍVKA","právní-forma/801","Obec"
"00583502","Obec Martinice u Onšova","00583502",1,"osoba","KLÁRA ANDĚLOVÁ","právní-forma/801","Obec"
"00248631","Obec Mezilesí","00248631",1,"osoba","STANISLAV PROKOP","právní-forma/801","Obec"
"00373818","Obec Meziříčko","00373818",1,"osoba","MARCELA ONDRÁKOVÁ","právní-forma/801","Obec"
"00378186","Obec Mikulovice","00378186",1,"osoba","JAROSLAV KUNST","právní-forma/801","Obec"
"00842249","Obec Milešín","00842249",1,"osoba","LUKÁŠ DOLEŽAL","právní-forma/801","Obec"
"00574074","Obec Životice","00574074",1,"osoba","JIŘÍ KOČÍ","právní-forma/801","Obec"
"00231525","Město Bystřice","00231525",1,"osoba","MICHAL HODÍK","právní-forma/801","Obec"
